gene_biotype	gene_name	strand	chrom	gc_content	length
ENSG00000003989	protein_coding	SLC7A2	+	8	42.0402166397787	73485
ENSG00000004059	protein_coding	ARF5	+	7	59.1549295774648	3314
ENSG00000004139	protein_coding	SARM1	+	17	56.9428921177285	39693
ENSG00000004142	protein_coding	POLDIP2	-	17	54.6494992846924	10894
ENSG00000004399	protein_coding	PLXND1	-	3	60.0502036563418	51462
ENSG00000004455	protein_coding	AK2	-	1	46.7922977203023	73056
ENSG00000004468	protein_coding	CD38	+	4	44.5106554893445	74957
ENSG00000004478	protein_coding	FKBP4	+	12	52.6675202731541	10453
ENSG00000004487	protein_coding	KDM1A	+	1	49.1304023288796	64246
ENSG00000004534	protein_coding	RBM6	+	3	47.9929746128054	160038
ENSG00000004660	protein_coding	CAMKK1	-	17	58.1230929522959	34576
ENSG00000004700	protein_coding	RECQL	-	12	40.0658823529412	32759
ENSG00000004766	protein_coding	VPS50	+	7	37.5348811251256	128783
ENSG00000004776	protein_coding	HSPB6	-	19	65.6912948061448	3513
ENSG00000004777	protein_coding	ARHGAP33	+	19	65.2838645418327	14290
ENSG00000004779	protein_coding	NDUFAB1	-	16	47.8044496487119	15302
ENSG00000004799	protein_coding	PDK4	-	7	39.6091644204852	13017
ENSG00000004809	protein_coding	SLC22A16	-	6	46.6054385017108	51954
ENSG00000004838	protein_coding	ZMYND10	-	3	60.0405246880665	4622
ENSG00000004846	protein_coding	ABCB5	+	7	41.3711902038619	161371
ENSG00000004848	protein_coding	ARX	-	X	62.575210589651	12726
ENSG00000004864	protein_coding	SLC25A13	-	7	44.9729270623208	201927
ENSG00000004866	protein_coding	ST7	+	7	45.9817858156394	276938
ENSG00000004897	protein_coding	CDC27	-	17	40.2899581259382	71719
ENSG00000004939	protein_coding	SLC4A1	-	17	56.2964492155244	19751
ENSG00000004948	protein_coding	CALCR	-	7	43.481475396369	150244
ENSG00000004961	protein_coding	HCCS	+	X	43.1204151010914	11785
ENSG00000004975	protein_coding	DVL2	-	17	59.7082494969819	9175
ENSG00000005001	protein_coding	PRSS22	-	16	62.5842191944902	5440
ENSG00000005007	protein_coding	UPF1	+	19	59.5477606717985	36271
ENSG00000005020	protein_coding	SKAP2	-	7	40.4274670304684	328171
ENSG00000005022	protein_coding	SLC25A5	+	X	50.1667778519013	2974
ENSG00000005059	protein_coding	MCUB	+	4	42.5630928942187	128510
ENSG00000005073	protein_coding	HOXA11	-	7	54.4319600499376	4075
ENSG00000005075	protein_coding	POLR2J	-	7	58.2750582750583	5789
ENSG00000005100	protein_coding	DHX33	-	17	51.5020297699594	28065
ENSG00000005102	protein_coding	MEOX1	-	17	55.5842607313196	21533
ENSG00000005108	protein_coding	THSD7A	-	7	42.6721625447581	461833
ENSG00000005156	protein_coding	LIG3	+	17	50.8737185461323	29231
ENSG00000005175	protein_coding	RPAP3	-	12	36.2481454005935	44781
ENSG00000005187	protein_coding	ACSM3	+	16	42.7346177750155	187338
ENSG00000005189	protein_coding	REXO5	+	16	47.4001360676451	43236
ENSG00000005194	protein_coding	CIAPIN1	-	16	49.9026809819803	19233
ENSG00000005206	protein_coding	SPPL2B	+	19	64.5249412664591	26480
ENSG00000005238	protein_coding	FAM214B	-	9	57.5819837241157	12229
ENSG00000005243	protein_coding	COPZ2	-	17	53.2690068208285	11863
ENSG00000005249	protein_coding	PRKAR2B	+	7	39.6761133603239	117106
ENSG00000005302	protein_coding	MSL3	+	X	44.3552184148574	17613
ENSG00000005339	protein_coding	CREBBP	-	16	53.8229120284969	155659
ENSG00000005379	protein_coding	TSPOAP1	-	17	60.8829917198317	27567
ENSG00000005381	protein_coding	MPO	-	17	59.9214551467549	11080
ENSG00000005421	protein_coding	PON1	-	7	41.4666084679179	26856
ENSG00000005436	protein_coding	GCFC2	-	2	38.5560602438441	58985
ENSG00000005448	protein_coding	WDR54	+	2	58.0213903743316	4077
ENSG00000005469	protein_coding	CROT	+	7	39.3521459032756	54130
ENSG00000005471	protein_coding	ABCB4	-	7	44.6434072704868	78739
ENSG00000005483	protein_coding	KMT2E	+	7	42.5924904890555	100829
ENSG00000005486	protein_coding	RHBDD2	+	7	59.1953414505029	46324
ENSG00000005513	protein_coding	SOX8	+	16	63.9226519337017	5209
ENSG00000005700	protein_coding	IBTK	-	6	37.6325217518462	77768
ENSG00000005801	protein_coding	ZNF195	-	11	42.6814240073026	39961
ENSG00000005810	protein_coding	MYCBP2	-	13	44.0022734716683	284620
ENSG00000005812	protein_coding	FBXL3	-	13	41.6303874619068	34597
ENSG00000005844	protein_coding	ITGAL	+	16	55.3100248394807	50909
ENSG00000005882	protein_coding	PDK2	+	17	58.4734566418448	17415
ENSG00000005884	protein_coding	ITGA3	+	17	59.0790552119812	34513
ENSG00000005889	protein_coding	ZFX	+	X	40.1342509025271	67082
ENSG00000005893	protein_coding	LAMP2	-	X	37.4626539386432	43217
ENSG00000005961	protein_coding	ITGA2B	-	17	60.3740244441172	17469
ENSG00000005981	protein_coding	ASB4	+	7	43.6326737696601	61789
ENSG00000006007	protein_coding	GDE1	-	16	45.6172167815258	20430
ENSG00000006015	protein_coding	REX1BD	+	19	62.3860562957027	3652
ENSG00000006016	protein_coding	CRLF1	-	19	64.2593214645616	35521
ENSG00000006025	protein_coding	OSBPL7	-	17	60.8864864864865	14462
ENSG00000006042	protein_coding	TMEM98	+	17	53.4868841970569	17196
ENSG00000006047	protein_coding	YBX2	-	17	60.1604760187523	6376
ENSG00000006059	protein_coding	KRT33A	-	17	60.4758250191865	4736
ENSG00000006062	protein_coding	MAP3K14	-	17	59.3818380743982	53910
ENSG00000006071	protein_coding	ABCC8	-	11	57.5650805771729	84396
ENSG00000006116	protein_coding	CACNG3	+	16	52.321335419927	106077
ENSG00000006118	protein_coding	TMEM132A	+	11	65.1991916859122	12699
ENSG00000006125	protein_coding	AP2B1	+	17	46.4482054975393	148367
ENSG00000006128	protein_coding	TAC1	+	7	42.2653256704981	8388
ENSG00000006194	protein_coding	ZNF263	+	16	52.6502044668135	37601
ENSG00000006210	protein_coding	CX3CL1	+	16	58.153893648221	12567
ENSG00000006282	protein_coding	SPATA20	+	17	61.2853535353535	12794
ENSG00000006283	protein_coding	CACNA1G	+	17	61.2768209799666	66759
ENSG00000006327	protein_coding	TNFRSF12A	+	16	63.4713743606666	3938
ENSG00000006377	protein_coding	DLX6	+	7	54.084753167322	5487
ENSG00000006432	protein_coding	MAP3K9	-	14	56.2068073469086	87008
ENSG00000006451	protein_coding	RALA	+	7	43.8667154888319	84555
ENSG00000006453	protein_coding	BAIAP2L1	-	7	51.1417556346382	109440
ENSG00000006459	protein_coding	KDM7A	-	7	38.1851914319447	92237
ENSG00000006468	protein_coding	ETV1	-	7	39.9973871334988	100196
ENSG00000006530	protein_coding	AGK	+	7	44.3912184711785	103966
ENSG00000006534	protein_coding	ALDH3B1	+	11	61.2440439196188	20704
ENSG00000006555	protein_coding	TTC22	-	1	58.2917299761233	21611
ENSG00000006576	protein_coding	PHTF2	+	7	37.5216867115594	158711
ENSG00000006606	protein_coding	CCL26	-	7	51.9524617996604	20363
ENSG00000006607	protein_coding	FARP2	+	2	50.4972534376907	138556
ENSG00000006611	protein_coding	USH1C	-	11	55.6081954100781	50521
ENSG00000006625	protein_coding	GGCT	-	7	43.6625403659849	8220
ENSG00000006634	protein_coding	DBF4	+	7	39.4255455712452	33337
ENSG00000006638	protein_coding	TBXA2R	-	19	63.2866043613707	12368
ENSG00000006652	protein_coding	IFRD1	+	7	41.6931818181818	58130
ENSG00000006659	protein_coding	LGALS14	+	19	47.0939706681152	4963
ENSG00000006695	protein_coding	COX10	+	17	48.2395444247137	162246
ENSG00000006704	protein_coding	GTF2IRD1	+	7	58.5387188062773	148815
ENSG00000006712	protein_coding	PAF1	-	19	56.7783701447068	5525
ENSG00000006715	protein_coding	VPS41	-	7	41.4236437754782	209420
ENSG00000006740	protein_coding	ARHGAP44	+	17	54.6939977183233	202145
ENSG00000006744	protein_coding	ELAC2	-	17	54.7444792953775	26453
ENSG00000006747	protein_coding	SCIN	+	7	42.9295541533051	89605
ENSG00000006756	protein_coding	ARSD	-	X	53.1002695886599	25377
ENSG00000006757	protein_coding	PNPLA4	-	X	42.1708758731865	29492
ENSG00000006788	protein_coding	MYH13	-	17	52.4837292095455	72265
ENSG00000006831	protein_coding	ADIPOR2	+	12	43.9396038232442	100100
ENSG00000006837	protein_coding	CDKL3	-	5	38.3511967120638	84697
ENSG00000007001	protein_coding	UPP2	+	2	40.355819125278	259452
ENSG00000007038	protein_coding	PRSS21	+	16	59.0155440414508	9124
ENSG00000007047	protein_coding	MARK4	+	19	59.6009593305098	225996
ENSG00000007062	protein_coding	PROM1	-	4	44.2537976050491	121302
ENSG00000007080	protein_coding	CCDC124	+	19	63.4787991333952	10976
ENSG00000007129	protein_coding	CEACAM21	+	19	55.8813140233133	37326
ENSG00000007168	protein_coding	PAFAH1B1	+	17	40.7573819255931	92405
ENSG00000007171	protein_coding	NOS2	-	17	57.076043651481	43763
ENSG00000007174	protein_coding	DNAH9	+	17	51.8521935692208	371278
ENSG00000007202	protein_coding	KIAA0100	-	17	51.403004154682	31008
ENSG00000007216	protein_coding	SLC13A2	+	17	58.3129584352078	24488
ENSG00000007237	protein_coding	GAS7	-	17	53.494721958117	288000
ENSG00000007255	protein_coding	TRAPPC6A	-	19	63.6817472698908	15309
ENSG00000007264	protein_coding	MATK	-	19	64.7416226831963	24159
ENSG00000007306	protein_coding	CEACAM7	-	19	45.0345641544428	33673
ENSG00000007312	protein_coding	CD79B	-	17	60.2026624279754	3596
ENSG00000007314	protein_coding	SCN4A	-	17	57.5595038551794	34364
ENSG00000007341	protein_coding	ST7L	-	1	44.4788296525531	97311
ENSG00000007350	protein_coding	TKTL1	+	X	50.5387931034483	34555
ENSG00000007372	protein_coding	PAX6	-	11	48.4440671771565	33182
ENSG00000007376	protein_coding	RPUSD1	-	16	66.8417751293712	3423
ENSG00000007384	protein_coding	RHBDF1	-	16	62.25	18296
ENSG00000007392	protein_coding	LUC7L	-	16	50.9835741143875	40494
ENSG00000007402	protein_coding	CACNA2D2	-	3	57.9475444464003	141631
ENSG00000007516	protein_coding	BAIAP3	+	16	64.3669907202828	15803
ENSG00000007520	protein_coding	TSR3	-	16	66.0570199031738	2638
ENSG00000007541	protein_coding	PIGQ	+	16	65.7925996317634	17114
ENSG00000007545	protein_coding	CRAMP1	+	16	57.7263267429761	65571
ENSG00000007866	protein_coding	TEAD3	-	6	60.2760113651739	23482
ENSG00000007908	protein_coding	SELE	-	1	42.3577712609971	42065
ENSG00000007923	protein_coding	DNAJC11	-	1	53.671461014383	67756
ENSG00000007933	protein_coding	FMO3	+	1	44.8652224243426	26918
ENSG00000007944	protein_coding	MYLIP	+	6	46.319018404908	19162
ENSG00000007952	protein_coding	NOX1	-	X	44.5286299838529	31035
ENSG00000007968	protein_coding	E2F2	-	1	56.6655064392621	24795
ENSG00000008018	protein_coding	PSMB1	-	6	42.9681978798587	18187
ENSG00000008056	protein_coding	SYN1	-	X	58.9498806682578	47956
ENSG00000008083	protein_coding	JARID2	+	6	50.8004621224625	275973
ENSG00000008086	protein_coding	CDKL5	+	X	43.2316295900325	228046
ENSG00000008118	protein_coding	CAMK1G	+	1	52.7678758649612	30225
ENSG00000008128	protein_coding	CDK11A	-	1	56.8715752346161	21978
ENSG00000008130	protein_coding	NADK	-	1	57.8875171467764	29225
ENSG00000008196	protein_coding	TFAP2B	+	6	50.901831199229	28896
ENSG00000008197	protein_coding	TFAP2D	+	6	46.9691470054446	59507
ENSG00000008226	protein_coding	DLEC1	+	3	54.5786812196465	84820
ENSG00000008256	protein_coding	CYTH3	-	7	54.9300773763044	110868
ENSG00000008277	protein_coding	ADAM22	+	7	41.9248478226939	268746
ENSG00000008282	protein_coding	SYPL1	-	7	40.1201201201201	22071
ENSG00000008283	protein_coding	CYB561	-	17	60.2488679716191	14050
ENSG00000008294	protein_coding	SPAG9	-	17	43.0309162934895	158694
ENSG00000008300	protein_coding	CELSR3	-	3	60.3817613291641	26423
ENSG00000008311	protein_coding	AASS	-	7	39.3121919031169	79725
ENSG00000008323	protein_coding	PLEKHG6	+	12	60.9222855043175	18070
ENSG00000008324	protein_coding	SS18L2	+	3	41.7768499188123	15094
ENSG00000008382	protein_coding	MPND	+	19	65.021973631642	16559
ENSG00000008394	protein_coding	MGST1	+	12	39.6218905472637	262117
ENSG00000008405	protein_coding	CRY1	-	12	42.7084524762667	102185
ENSG00000008438	protein_coding	PGLYRP1	-	19	62.0056497175141	3900
ENSG00000008441	protein_coding	NFIX	+	19	60.1978900917052	103321
ENSG00000008513	protein_coding	ST3GAL1	-	8	52.4148401176582	117092
ENSG00000008516	protein_coding	MMP25	+	16	66.2489557226399	14664
ENSG00000008517	protein_coding	IL32	+	16	57.6570388432874	16895
ENSG00000008710	protein_coding	PKD1	-	16	65.8426883670768	47190
ENSG00000008735	protein_coding	MAPK8IP2	+	22	63.110835694051	13188
ENSG00000008838	protein_coding	MED24	-	17	56.9010879613169	42118
ENSG00000008853	protein_coding	RHOBTB2	+	8	58.5054787138495	32782
ENSG00000008869	protein_coding	HEATR5B	-	2	41.6954113097105	115989
ENSG00000008952	protein_coding	SEC62	+	3	38.3186472969755	31738
ENSG00000008988	protein_coding	RPS20	-	8	43.0237060620402	7256
ENSG00000009307	protein_coding	CSDE1	-	1	41.4523111297305	41763
ENSG00000009335	protein_coding	UBE3C	+	7	46.6587183308495	130454
ENSG00000009413	protein_coding	REV3L	-	6	39.5388020747299	184687
ENSG00000009694	protein_coding	TENM1	-	X	42.2481952561018	587914
ENSG00000009709	protein_coding	PAX7	+	1	57.7115895016219	118020
ENSG00000009724	protein_coding	MASP2	-	1	57.4819401444788	20716
ENSG00000009765	protein_coding	IYD	+	6	44.3743473720849	37077
ENSG00000009780	protein_coding	FAM76A	+	1	44.4254014071802	37155
ENSG00000009790	protein_coding	TRAF3IP3	+	1	48.7091532767648	26288
ENSG00000009830	protein_coding	POMT2	-	14	54.2304894981597	45927
ENSG00000009844	protein_coding	VTA1	+	6	37.9294518751639	77523
ENSG00000009950	protein_coding	MLXIPL	-	7	63.2115869017632	31349
ENSG00000009954	protein_coding	BAZ1B	-	7	47.9870654810024	81887
ENSG00000010017	protein_coding	RANBP9	-	6	48.2187036120732	90337
ENSG00000010030	protein_coding	ETV7	-	6	56.8161471473916	33709
ENSG00000010072	protein_coding	SPRTN	+	1	43.9908649728804	17919
ENSG00000010165	protein_coding	EEF1AKNMT	+	1	50.9301928656767	32363
ENSG00000010219	protein_coding	DYRK4	+	12	47.6670644391408	53098
ENSG00000010244	protein_coding	ZNF207	+	17	39.7105796739161	31753
ENSG00000010256	protein_coding	UQCRC1	-	3	58.3011583011583	11974
ENSG00000010270	protein_coding	STARD3NL	+	7	44.1772391592501	52425
ENSG00000010278	protein_coding	CD9	+	12	49.2573176059415	38556
ENSG00000010282	protein_coding	HHATL	-	3	58.2888737995926	10161
ENSG00000010292	protein_coding	NCAPD2	+	12	52.2071544170992	38599
ENSG00000010295	protein_coding	IFFO1	-	12	60.3963380175564	17112
ENSG00000010310	protein_coding	GIPR	+	19	59.068772136954	15501
ENSG00000010318	protein_coding	PHF7	+	3	48.7169301660443	12981
ENSG00000010319	protein_coding	SEMA3G	-	3	59.9659284497445	12068
ENSG00000010322	protein_coding	NISCH	+	3	58.60980622431	37950
ENSG00000010327	protein_coding	STAB1	+	3	62.0086496876502	29157
ENSG00000010361	protein_coding	FUZ	-	19	60.7081936356685	10510
ENSG00000010379	protein_coding	SLC6A13	-	12	54.6566229700646	42252
ENSG00000010404	protein_coding	IDS	-	X	48.0181892222071	44108
ENSG00000010438	protein_coding	PRSS3	+	9	55.7369814651368	48552
ENSG00000010539	protein_coding	ZNF200	-	16	45.4342789701447	13896
ENSG00000010610	protein_coding	CD4	+	12	54.8652573826045	33941
ENSG00000010626	protein_coding	LRRC23	+	12	54.2198629216503	40672
ENSG00000010671	protein_coding	BTK	-	X	46.191759722757	41349
ENSG00000010704	protein_coding	HFE	+	6	49.5684340320592	11062
ENSG00000010803	protein_coding	SCMH1	-	1	52.998467936091	214954
ENSG00000010810	protein_coding	FYN	-	6	48.8886915860191	213120
ENSG00000010818	protein_coding	HIVEP2	-	6	46.9413481953291	205229
ENSG00000010932	protein_coding	FMO1	+	1	44.3405549220829	37507
ENSG00000011007	protein_coding	ELOA	+	1	48.9811320754717	18904
ENSG00000011009	protein_coding	LYPLA2	+	1	61.7311315526987	4394
ENSG00000011021	protein_coding	CLCN6	+	1	53.362018054501	41983
ENSG00000011028	protein_coding	MRC2	+	17	63.0709926116287	65927
ENSG00000011052	protein_coding	NME1-NME2	+	17	53.1209781209781	18154
ENSG00000011083	protein_coding	SLC6A7	+	5	60.8158964323348	32726
ENSG00000011105	protein_coding	TSPAN9	+	12	58.5480093676815	209209
ENSG00000011114	protein_coding	BTBD7	-	14	43.7218084548411	95542
ENSG00000011132	protein_coding	APBA3	-	19	63.0664454728019	10920
ENSG00000011143	protein_coding	MKS1	-	17	50.9540428149277	14164
ENSG00000011198	protein_coding	ABHD5	+	3	42.3093250318381	44263
ENSG00000011201	protein_coding	ANOS1	-	X	41.1408704609838	203263
ENSG00000011243	protein_coding	AKAP8L	-	19	60.6811531744052	39091
ENSG00000011258	protein_coding	MBTD1	-	17	39.4551893217107	82738
ENSG00000011260	protein_coding	UTP18	+	17	40.6599254922831	37390
ENSG00000011275	protein_coding	RNF216	-	7	51.6847139009509	161649
ENSG00000011295	protein_coding	TTC19	+	17	46.0414876641709	45231
ENSG00000011304	protein_coding	PTBP1	+	19	59.0697778373788	15252
ENSG00000011332	protein_coding	DPF1	-	19	61.8858796938816	18708
ENSG00000011347	protein_coding	SYT7	-	11	60.7167724759369	67434
ENSG00000011376	protein_coding	LARS2	+	3	50.6644381730005	166165
ENSG00000011405	protein_coding	PIK3C2A	-	11	38.8893252690284	130253
ENSG00000011422	protein_coding	PLAUR	-	19	55.7092665788318	24452
ENSG00000011426	protein_coding	ANLN	+	7	40.3058652176349	63970
ENSG00000011451	protein_coding	WIZ	-	19	61.9871104307233	29978
ENSG00000011454	protein_coding	RABGAP1	+	9	42.7237502382011	164033
ENSG00000011465	protein_coding	DCN	-	12	40.260143661425	42733
ENSG00000011478	protein_coding	QPCTL	+	19	58.8850950118765	11586
ENSG00000011485	protein_coding	PPP5C	+	19	56.1841749932487	45894
ENSG00000011523	protein_coding	CEP68	+	2	48.9140804758965	30638
ENSG00000011566	protein_coding	MAP4K3	-	2	39.6396396396396	188035
ENSG00000011590	protein_coding	ZBTB32	+	19	59.5307108350587	12480
ENSG00000011600	protein_coding	TYROBP	-	19	60.2454753484502	3894
ENSG00000011638	protein_coding	TMEM159	+	16	49.5775201414816	22239
ENSG00000011677	protein_coding	GABRA3	-	X	47.0433639947438	285081
ENSG00000012048	protein_coding	BRCA1	-	17	42.6582050464881	125950
ENSG00000012061	protein_coding	ERCC1	-	19	57.7016718065249	71494
ENSG00000012124	protein_coding	CD22	+	19	54.6474054362289	28100
ENSG00000012171	protein_coding	SEMA3B	+	3	64.5139470463184	9988
ENSG00000012174	protein_coding	MBTPS2	+	X	40.1950766372503	45806
ENSG00000012211	protein_coding	PRICKLE3	-	X	61.8211320034361	11726
ENSG00000012223	protein_coding	LTF	-	3	53.5098915124442	49589
ENSG00000012232	protein_coding	EXTL3	+	8	51.5132949393457	155130
ENSG00000012504	protein_coding	NR1H4	+	12	40.9942320271154	90706
ENSG00000012660	protein_coding	ELOVL5	-	6	42.8064404432133	81781
ENSG00000012779	protein_coding	ALOX5	+	10	57.7891048104492	71943
ENSG00000012817	protein_coding	KDM5D	-	Y	49.5046011020929	41074
ENSG00000012822	protein_coding	CALCOCO1	-	12	53.512164691204	19228
ENSG00000012963	protein_coding	UBR7	+	14	46.2024465653986	21974
ENSG00000012983	protein_coding	MAP4K5	-	14	38.6782337459791	142625
ENSG00000013016	protein_coding	EHD3	+	2	54.5699481865285	35299
ENSG00000013275	protein_coding	PSMC4	+	19	54.7883902314282	10599
ENSG00000013288	protein_coding	MAN2B2	+	4	58.4867198273278	48173
ENSG00000013293	protein_coding	SLC7A14	-	3	43.220578535758	126527
ENSG00000013297	protein_coding	CLDN11	+	3	50.5029965753425	35865
ENSG00000013306	protein_coding	SLC25A39	-	17	62.0466532543092	5245
ENSG00000013364	protein_coding	MVP	+	16	58.5508822818467	27645
ENSG00000013374	protein_coding	NUB1	+	7	45.6716746464146	36677
ENSG00000013375	protein_coding	PGM3	-	6	42.0930300979729	32786
ENSG00000013392	protein_coding	RWDD2A	+	6	42.8230299814274	5578
ENSG00000013441	protein_coding	CLK1	-	2	38.276081736659	11735
ENSG00000013503	protein_coding	POLR3B	+	12	43.3477755468667	152450
ENSG00000013523	protein_coding	ANGEL1	-	14	53.6967080410146	40237
ENSG00000013561	protein_coding	RNF14	+	5	42.4799940169023	31964
ENSG00000013563	protein_coding	DNASE1L1	-	X	57.5012518778167	10876
ENSG00000013573	protein_coding	DDX11	+	12	57.1302190096019	30939
ENSG00000013583	protein_coding	HEBP1	-	12	49.0947611710324	25395
ENSG00000013588	protein_coding	GPRC5A	+	12	50.4255319148936	26378
ENSG00000013619	protein_coding	MAMLD1	+	X	53.5496908605384	152756
ENSG00000013725	protein_coding	CD6	+	11	61.6605225196346	48697
ENSG00000013810	protein_coding	TACC3	+	4	58.3182423890389	32313
ENSG00000014123	protein_coding	UFL1	+	6	38.2365499573014	33681
ENSG00000014138	protein_coding	POLA2	+	11	51.9419060052219	43669
ENSG00000014164	protein_coding	ZC3H3	-	8	64.2033542976939	103788
ENSG00000014216	protein_coding	CAPN1	+	11	60.6140046113515	31440
ENSG00000014257	protein_coding	ACP3	+	3	45.6546807841493	50929
ENSG00000014641	protein_coding	MDH1	+	2	42.9405520169851	18588
ENSG00000014824	protein_coding	SLC30A9	+	4	39.6320014431316	99959
ENSG00000014914	protein_coding	MTMR11	-	1	51.9198664440735	8228
ENSG00000014919	protein_coding	COX15	-	10	44.2570869990225	21259
ENSG00000015133	protein_coding	CCDC88C	-	14	56.4671287544633	146521
ENSG00000015153	protein_coding	YAF2	-	12	39.9965071603213	81245
ENSG00000015171	protein_coding	ZMYND11	+	10	41.5542141370856	120172
ENSG00000015285	protein_coding	WAS	+	X	60.2669592247212	14831
ENSG00000015413	protein_coding	DPEP1	+	16	62.8229616969941	25148
ENSG00000015475	protein_coding	BID	-	22	52.5932493192325	40632
ENSG00000015479	protein_coding	MATR3	+	5	39.9684312773191	38003
ENSG00000015520	protein_coding	NPC1L1	-	7	58.8512349224584	28795
ENSG00000015532	protein_coding	XYLT2	+	17	60.3325977301387	17012
ENSG00000015568	protein_coding	RGPD5	+	2	40.4966039416546	64947
ENSG00000015592	protein_coding	STMN4	-	8	52.1047008547009	23097
ENSG00000015676	protein_coding	NUDCD3	-	7	53.8904061828113	111539
ENSG00000016082	protein_coding	ISL1	+	5	49.3132766514061	11282
ENSG00000016391	protein_coding	CHDH	-	3	54.3869516310461	34084
ENSG00000016402	protein_coding	IL20RA	-	6	46.7182289079685	45209
ENSG00000016490	protein_coding	CLCA1	+	1	43.6490338929363	31891
ENSG00000016602	protein_coding	CLCA4	+	1	38.1803411860276	33676
ENSG00000016864	protein_coding	GLT8D1	-	3	46.6232008857178	11546
ENSG00000017260	protein_coding	ATP2C1	+	3	40.7383902647987	166117
ENSG00000017427	protein_coding	IGF1	-	12	40.9374458499394	85870
ENSG00000017483	protein_coding	SLC38A5	-	X	57.5189841902154	11723
ENSG00000017797	protein_coding	RALBP1	+	18	46.8960359012715	63105
ENSG00000018189	protein_coding	RUFY3	+	4	43.2637088987142	104415
ENSG00000018236	protein_coding	CNTN1	+	12	40.235382184147	379976
ENSG00000018280	protein_coding	SLC11A1	+	2	58.595020417013	14865
ENSG00000018408	protein_coding	WWTR1	-	3	46.643690349947	219479
ENSG00000018510	protein_coding	AGPS	+	2	37.2134503172325	174278
ENSG00000018607	transcribed_unprocessed_pseudogene	ZNF806	+	2	42.0375335120643	22049
ENSG00000018610	protein_coding	STEEP1	-	X	46.3237614389397	27260
ENSG00000018625	protein_coding	ATP1A2	+	1	54.4324324324324	27832
ENSG00000018699	protein_coding	TTC27	+	2	44.7408270238789	193019
ENSG00000018869	protein_coding	ZNF582	-	19	45.7752145922747	17699
ENSG00000019102	protein_coding	VSIG2	-	11	58.9209855564996	4781
ENSG00000019144	protein_coding	PHLDB1	+	11	58.406829488919	51591
ENSG00000019169	protein_coding	MARCO	+	2	56.4224872231687	52466
